"","lng","lat"
"873",-0.10459,51.51413
"874",-0.108335,51.514191
"875",-0.089421,51.511546
"876",-0.094501,51.514147
"877",-0.0932,51.510798
"878",-0.094789,51.514152
"879",-0.078632,51.521352
"880",-0.094497,51.514237
"881",-0.104158,51.514123
"882",-0.087671,51.512057
"883",-0.079167,51.518933
"884",-0.08949,51.513346
"885",-0.0932,51.510798
"886",-0.08834,51.506403
"887",-0.089867,51.518118
"888",-0.087136,51.511059
"889",-0.08823,51.51935
"890",-0.104587,51.51422
"891",-0.078954,51.520548
"892",-0.084158,51.513349
"893",-0.087545,51.511606
"894",-0.078855,51.512633
"895",-0.083941,51.511637
"896",-0.09803,51.522837
"897",-0.074633,51.506808
"898",-0.095573,51.512636
"899",-0.096527,51.517417
"900",-0.081596,51.516005
"901",-0.101865,51.513817
"902",-0.080383,51.517424
"903",-0.108609,51.511048
"904",-0.080982,51.516894
"905",-0.083828,51.514333
"906",-0.107754,51.517779
"907",-0.0932,51.510798
"908",-0.094568,51.512529
"909",-0.089195,51.513521
"910",-0.103049,51.516534
"911",-0.103137,51.51096
"912",-0.082183,51.515745
"913",-0.091195,51.510496
"914",-0.093786,51.517462
"915",-0.081732,51.516187
"916",-0.095713,51.512728
"917",-0.111632,51.518111
"918",-0.109491,51.51412
"919",-0.093356,51.513948
"920",-0.079917,51.518225
"921",-0.099579,51.51333
"922",-0.139637,51.4923
"923",-0.131538,51.489564
"924",-0.133536,51.511178
"925",-0.131619,51.512226
"926",-0.133381,51.514952
"927",-0.127933,51.507221
"928",-0.177523,51.532012
"929",-0.161864,51.516301
"930",-0.128488,51.511277
"931",-0.162862,51.512989
"932",-0.150595,51.52053
"933",-0.147329,51.51931
"934",-0.118901,51.509595
"935",-0.137895,51.492632
"936",-0.174843,51.523338
"937",-0.152758,51.524071
"938",-0.161274,51.513054
"939",-0.17479,51.503014
"940",-0.173867,51.522513
"941",-0.174288,51.52279
"942",-0.197664,51.525849
"943",-0.131553,51.510337
"944",-0.178628,51.526005
"945",-0.175099,51.534942
"946",-0.139741,51.493291
"947",-0.166534,51.525636
"948",-0.152372,51.515792
"949",-0.203321,51.524947
"950",-0.173535,51.51999
"951",-0.164325,51.501682
"952",-0.132261,51.507111
"953",-0.13662,51.513295
"954",-0.168946,51.537364
"955",-0.144085,51.49273
"956",-0.131036,51.512397
"957",-0.146479,51.511832
"958",-0.201674,51.522853
"959",-0.155276,51.522402
"960",-0.141898,51.514638
"961",-0.179476,51.515586
"962",-0.158527,51.513281
"963",-0.130966,51.514104
"964",-0.188676,51.512582
"965",-0.119182,51.513286
"966",-0.157739,51.522081
"967",-0.139713,51.508128
"968",-0.12248,51.506685
"969",-0.131231,51.507634
"970",-0.178207,51.525728
"971",-0.146939,51.521821
"972",-0.152316,51.502932
"973",-0.170442,51.507263
"974",-0.169242,51.519204
"975",-0.149309,51.52024
"976",-0.178824,51.513868
"977",-0.156352,51.513607
"978",-0.172728,51.514942
"979",-0.129419,51.51318
"980",-0.151705,51.51803
"981",-0.169801,51.519662
"982",-0.136759,51.50988
"983",-0.125832,51.498735
"984",-0.136652,51.498368
"985",-0.175342,51.514443
"986",-0.126892,51.501
"987",-0.151573,51.514161
"988",-0.153328,51.520663
"989",-0.135793,51.51589
"990",-0.133093,51.51144
"991",-0.16151,51.521511
"992",-0.171248,51.533893
"993",-0.142452,51.515186
"994",-0.161522,51.514048
"995",-0.14251,51.520852
"996",-0.186026,51.513979
